fee_id,transaction_id,fee_percentage,fee_amount
340,183981,0.5,822.26
341,199916,1.0,2016.21
342,176127,1.0,1851.42
343,104050,0.5,12277.88
344,129107,1.0,985.66
345,133794,1.0,1274.46
346,186097,1.0,849.19
347,132853,0.5,2431.18
348,14394,0.5,554.11
349,38800,1.0,2311.48
350,102011,0.5,1143.04
351,158582,0.5,4060.2
352,74906,1.0,1708.21
353,52909,0.5,591.17
354,81079,0.5,1499.46
355,24551,1.0,758.06
356,40804,1.0,695.78
357,169872,0.5,470.72
358,26642,0.5,1945.68
359,144952,0.5,425.37
360,31593,1.0,1188.68
361,62999,1.0,1238.12
362,138718,1.0,1574.96
363,81177,1.0,1016.67
364,29260,1.0,2242.9
365,169832,1.0,1512.41
366,33816,0.5,740.15
367,99764,1.0,1494.63
368,90522,1.0,3523.79
369,150210,0.5,2147.84
370,27565,0.5,2121.24
371,77753,1.0,2255.34
372,135495,1.0,828.76
373,198620,1.0,644.44
374,183447,0.5,3366.72
375,34108,1.0,1343.26
376,54694,1.0,1521.12
377,89776,0.5,933.05
378,183011,1.0,1869.18
379,199054,1.0,1190.17
380,125871,1.0,1286.36
381,72852,1.0,489.69
382,36631,1.0,2782.56
383,65520,0.5,1822.84
384,61538,1.0,2503.4
385,145022,1.0,2647.88
386,120744,1.0,3263.58
387,37140,1.0,3716.07
388,137562,1.0,1023.12
389,188440,0.5,2552.28
390,109613,0.5,2619.5
391,5103,0.5,1019.33
392,55367,1.0,2432.18
393,55981,0.5,4309.61
394,70603,1.0,689.56
395,8784,1.0,852.15
396,196593,1.0,3753.0
397,158041,0.5,3242.94
398,158104,1.0,2017.56
399,69296,0.5,2187.89
400,87078,0.5,4699.16
401,72359,0.5,391.37
402,141582,1.0,890.56
403,103613,1.0,723.37
404,133096,0.5,2343.68
405,27390,1.0,2758.13
406,146352,0.5,1714.39
407,34397,1.0,3797.37
408,155047,1.0,1211.49
409,80272,0.5,670.16
410,124220,0.5,4506.15
411,152474,1.0,2717.55
412,30708,1.0,1893.66
413,22826,0.5,3241.5
414,156849,0.5,1092.2
415,164948,0.5,2042.17
416,179918,1.0,2419.36
417,100029,1.0,828.69
418,188460,1.0,1257.22
419,192490,0.5,855.6
420,198783,0.5,2568.24
421,79528,1.0,719.08
422,61913,0.5,1568.12
423,87941,1.0,876.35
424,86849,0.5,2005.88
425,107880,1.0,2913.74
426,65464,1.0,855.06
427,167683,0.5,1541.35
428,31793,0.5,575.58
429,15599,1.0,1219.88
430,7297,1.0,910.83
431,15009,1.0,345.97
432,92533,1.0,3195.27
433,87832,0.5,5592.82
434,8838,1.0,2405.91
435,11326,0.5,827.33
436,1246,1.0,367.37
437,1277,1.0,2142.38
438,64217,1.0,888.34
439,127867,0.5,6434.93
440,86989,0.5,639.39
441,74714,1.0,584.3
442,124640,1.0,760.34
443,190474,0.5,1164.81
444,193305,1.0,927.18
445,183483,1.0,1194.6
446,190323,1.0,3112.75
447,9307,0.5,3281.35
448,85787,1.0,500.37
449,85458,1.0,3797.04
450,72869,1.0,1604.39
451,144580,1.0,2259.78
452,143834,0.5,2033.67
453,4079,0.5,901.62
454,26145,1.0,1150.42
455,103766,0.5,1545.41
456,135662,1.0,2939.81
457,129321,1.0,1287.67
458,93758,0.5,2814.66
459,174906,1.0,1442.52
460,3757,1.0,3467.8
461,126417,0.5,3791.79
462,3883,0.5,2802.04
463,140047,0.5,1558.03
464,93916,1.0,339.91
465,167933,0.5,2490.02
466,158830,1.0,1745.14
467,137227,1.0,2515.41
468,134719,0.5,3081.08
469,54947,0.5,1588.21
470,115891,0.5,620.92
471,116051,0.5,1394.9
472,180030,0.5,1479.39
473,169880,1.0,1557.57
474,95994,0.5,1392.55
475,134022,1.0,1685.58
476,45687,1.0,6161.03
477,118796,1.0,1667.94
478,30704,1.0,645.87
479,7148,0.5,1001.89
480,77265,0.5,1157.93
481,19084,1.0,589.01
482,4626,1.0,1659.43
483,97208,1.0,2342.16
484,190691,1.0,3296.67
485,142869,0.5,1896.31
486,90942,1.0,772.15
487,86821,0.5,709.58
488,149205,1.0,608.55
489,155119,1.0,1839.82
490,193417,0.5,676.07
491,139649,1.0,369.88
492,45905,1.0,1871.26
493,42173,0.5,1425.13
494,168364,1.0,4464.94
495,46998,1.0,1592.81
496,80008,1.0,2108.13
497,5273,0.5,8523.77
498,71105,1.0,1140.04
499,117230,0.5,1339.87
500,195180,1.0,261.71
501,112396,1.0,846.06
502,197782,1.0,1704.26
503,72473,1.0,1119.89
504,109301,0.5,6938.26
505,109991,1.0,1275.0
506,13021,1.0,1423.01
507,21408,1.0,1058.21
508,26665,1.0,514.01
509,78805,1.0,822.94
510,153978,0.5,1425.22
511,146691,1.0,1149.79
512,193991,0.5,1010.11
513,96501,0.5,2870.73
514,86228,0.5,3517.6
515,52873,0.5,736.03
516,146105,0.5,717.78
517,140982,0.5,12144.1
518,12766,1.0,2180.65
519,133444,1.0,2233.28
520,25468,1.0,2780.59
521,116437,1.0,1722.09
522,192678,1.0,1746.88
523,74618,0.5,1872.26
524,47968,0.5,1438.7
525,105540,1.0,1982.41
526,198724,1.0,2546.56
527,69503,1.0,896.6
528,52037,1.0,1673.1
529,164987,1.0,1612.46
530,141446,0.5,1519.04
531,121318,0.5,3795.17
532,162526,1.0,1141.77
533,36944,1.0,1589.61
534,184192,1.0,680.33
535,177297,1.0,813.23
536,33292,0.5,1402.39
537,85183,1.0,1493.38
538,64833,0.5,1694.3
539,95484,0.5,827.34
540,162457,1.0,1625.18
541,15424,0.5,2486.03
542,7454,1.0,873.54
543,181447,0.5,8261.67
544,113849,1.0,798.89
545,180034,1.0,791.83
546,70496,1.0,2460.51
547,137938,1.0,4237.13
548,168606,0.5,624.99
549,77640,0.5,711.69
550,146506,0.5,2187.86
551,43119,0.5,4510.86
552,125758,1.0,1097.27
553,164071,1.0,2229.77
554,13409,1.0,1439.38
555,170827,1.0,10950.66
556,159098,1.0,1564.79
557,59653,1.0,364.52
558,172914,1.0,3804.67
559,149571,0.5,750.25
560,58216,1.0,961.23
561,54469,0.5,1044.66
562,9220,1.0,2325.35
563,48545,0.5,872.31
564,195015,0.5,547.59
565,195510,1.0,1039.45
566,85098,0.5,2450.99
567,31292,1.0,3832.94
568,132844,1.0,1314.22
569,33091,0.5,3360.34
570,71290,1.0,2114.66
571,87992,0.5,11854.78
572,125377,0.5,1504.0
573,117937,0.5,1866.9
574,35973,0.5,5304.28
575,97781,1.0,525.18
576,105868,0.5,1438.53
577,189261,1.0,4808.74
578,3607,1.0,1044.86
579,158331,1.0,734.06
580,171654,1.0,2150.52
581,116557,0.5,570.15
582,195992,0.5,6997.86
583,62745,0.5,1199.54
584,4671,1.0,3287.8
585,89678,0.5,3618.31
586,122649,1.0,2300.95
587,137571,1.0,1527.77
588,33907,1.0,704.36
589,62854,1.0,674.0
590,82631,0.5,5441.55
591,9908,1.0,826.2
592,98269,0.5,747.46
593,167043,0.5,1191.62
594,158591,0.5,2192.31
595,181929,0.5,258.94
596,108660,1.0,1232.14
597,42628,0.5,578.39
598,131192,1.0,1074.95
599,116306,1.0,962.0
600,89669,1.0,944.09
601,1608,1.0,4301.55
602,40799,0.5,1952.41
603,46363,0.5,3655.43
604,69285,1.0,4092.1
605,122226,1.0,3761.84
606,122557,1.0,685.34
607,33680,1.0,2006.69
608,164444,0.5,785.1
609,137768,1.0,2192.73
610,163511,1.0,4619.44
611,118919,0.5,4189.23
612,85165,1.0,1090.22
613,8186,0.5,4214.12
614,135401,1.0,1327.46
615,31536,0.5,1738.16
616,71482,1.0,1382.56
617,177854,0.5,1804.9
618,61871,0.5,1276.84
619,135370,0.5,4800.32
620,144626,1.0,2411.66
621,14089,1.0,912.56
622,103171,1.0,771.06
623,69630,1.0,4643.73
624,9203,1.0,1500.42
625,88841,1.0,1900.59
626,46110,0.5,883.72
627,147259,0.5,944.37
628,10782,0.5,4459.33
629,150149,1.0,1671.28
630,159340,0.5,802.61
631,130146,1.0,1980.85
632,186162,0.5,1392.35
633,110921,1.0,772.36
634,171546,0.5,1212.73
635,32499,1.0,1863.31
636,34810,0.5,2441.36
637,66073,1.0,1091.1
638,14311,1.0,3024.32
639,166154,1.0,850.01
640,868,1.0,2697.98
641,146536,1.0,1923.43
642,186352,1.0,719.09
643,98486,1.0,1857.71
644,104842,1.0,1597.1
645,60882,1.0,2519.81
646,41964,1.0,1002.38
647,130992,0.5,1115.97
648,49184,1.0,377.65
649,12177,1.0,476.56
650,48126,1.0,710.28
651,60113,1.0,1045.58
652,53055,1.0,2393.46
653,101374,1.0,2458.42
654,143474,0.5,2759.75
655,144093,0.5,7001.07
656,62759,1.0,1594.31
657,164492,0.5,4947.76
658,31447,1.0,1113.71
659,154625,1.0,1100.72
660,8571,0.5,1942.0
661,27528,1.0,813.66
662,110494,1.0,6110.77
663,130822,1.0,2003.73
664,142367,1.0,738.11
665,122865,0.5,1057.19
666,66993,0.5,721.94
667,189500,0.5,1494.58
668,77163,1.0,3228.63
669,144912,0.5,793.14
670,7806,0.5,1534.71
671,184111,0.5,2906.27
672,93918,0.5,2167.28
673,2696,1.0,4170.69
674,31572,0.5,2344.92
675,51270,1.0,3638.04
676,68844,0.5,1249.77
677,120101,1.0,2828.29
678,103466,0.5,196.39
679,190116,0.5,2279.18
680,115682,1.0,734.41
681,120526,1.0,1177.06
682,187607,0.5,2706.4
683,129702,0.5,2576.32
684,91206,0.5,1754.22
685,886,0.5,1180.13
686,69015,1.0,1405.15
687,31854,1.0,2198.26
688,41565,1.0,1114.78
689,141368,0.5,976.29
690,141738,1.0,1017.75
691,6229,0.5,5877.1
692,26803,0.5,474.35
693,107414,1.0,573.8
694,58235,0.5,4066.54
695,139738,0.5,1142.99
696,162878,1.0,4985.46
697,102550,0.5,1493.61
698,15956,0.5,1866.77
699,185515,0.5,2256.56
700,157734,1.0,758.14
701,112414,1.0,2861.13
702,15948,1.0,754.93
703,198085,0.5,1381.6
704,31235,1.0,9838.94
705,122651,0.5,7215.52
706,172200,1.0,3738.3
707,78728,1.0,1543.15
708,160447,0.5,3062.89
709,132893,1.0,2095.07
710,31452,1.0,3175.81
711,104545,1.0,1200.83
712,180570,1.0,1111.67
713,166049,0.5,1815.22
714,187622,1.0,1515.28
715,59706,1.0,2035.23
716,51594,1.0,406.83
717,16248,1.0,1997.47
718,151870,1.0,904.24
719,97870,0.5,1164.48
720,96838,1.0,1506.86
721,68917,1.0,2211.54
722,1982,1.0,388.26
723,198108,1.0,901.5
724,163332,1.0,1055.88
725,99768,1.0,6516.43
726,103832,0.5,826.99
727,59795,0.5,1274.45
728,143870,0.5,1842.13
729,69040,1.0,2459.51
730,65836,0.5,3919.35
731,8801,1.0,2098.25
732,96413,0.5,1498.14
733,135159,1.0,687.91
734,122456,0.5,1431.28
735,83756,0.5,635.05
736,97272,0.5,590.23
737,35998,1.0,388.16
738,5874,1.0,4066.13
739,184889,0.5,2501.14
740,92440,0.5,4951.22
741,13603,0.5,942.59
742,170619,0.5,2768.43
743,94135,0.5,2683.79
744,83933,1.0,2810.7
745,160280,1.0,2760.57
746,74446,1.0,3044.26
747,96853,1.0,677.79
748,82102,0.5,461.32
749,112587,0.5,1158.54
750,129932,1.0,1381.9
751,157477,1.0,3137.89
752,170217,0.5,1062.15
753,168227,0.5,2949.4
754,175102,0.5,3624.46
755,42743,1.0,1176.05
756,72506,0.5,2453.47
757,32401,1.0,556.69
758,99611,1.0,1203.36
759,83172,1.0,1500.76
760,80154,1.0,622.77
761,54705,1.0,404.84
762,194619,0.5,756.15
763,173925,0.5,494.96
764,120600,1.0,673.88
765,137145,1.0,617.44
766,100949,1.0,2239.62
767,114302,1.0,3047.33
768,118071,1.0,4730.39
769,46443,0.5,719.23
770,11972,1.0,2400.1
771,104127,1.0,2167.8
772,40265,1.0,2697.82
773,94085,0.5,1509.27
774,125953,1.0,2397.81
775,9489,1.0,1327.51
776,156752,1.0,392.35
777,194483,0.5,408.25
778,177445,0.5,1581.77
779,116195,1.0,2298.5
780,82154,0.5,4686.81
781,129340,1.0,972.49
782,71337,0.5,1301.61
783,22952,0.5,843.21
784,24538,1.0,1849.68
785,194525,1.0,995.35
786,131491,0.5,4713.2
787,13840,0.5,1091.89
788,67076,1.0,582.86
789,91520,0.5,2520.71
790,98099,0.5,486.51
791,134568,1.0,5794.51
792,92047,0.5,944.76
793,83728,1.0,1428.56
794,152120,0.5,1113.88
795,102345,1.0,3898.95
796,74440,0.5,751.7
797,139469,1.0,1701.48
798,180272,1.0,1045.4
799,154589,0.5,651.44
800,169167,1.0,607.14
801,121470,1.0,1033.22
802,149559,0.5,2610.0
803,17109,0.5,927.75
804,142233,1.0,3666.45
805,70306,0.5,2255.55
806,173024,1.0,1531.18
807,56185,1.0,1915.64
808,198379,1.0,1341.0
809,74582,1.0,5178.26
810,132394,1.0,1112.46
811,61378,0.5,1927.74
812,74801,0.5,4528.35
813,115456,0.5,1303.38
814,71170,1.0,3725.64
815,117426,0.5,1111.33
816,62085,0.5,1702.11
817,118613,0.5,1197.93
818,89441,1.0,826.03
819,9747,0.5,3058.63
820,172037,1.0,1999.62
821,68835,1.0,968.58
822,116631,1.0,1076.26
823,90095,1.0,2302.52
824,68380,0.5,2369.66
825,114505,0.5,1665.52
826,71351,0.5,683.7
827,37692,0.5,1130.59
828,100202,1.0,1679.81
829,59368,1.0,1775.59
830,59138,1.0,2210.62
831,167333,1.0,627.01
832,121401,1.0,3079.1
833,155386,0.5,972.7
834,26872,1.0,354.69
835,77455,1.0,511.03
836,8723,1.0,645.28
837,949,1.0,1889.42
838,97550,1.0,6375.16
839,48219,1.0,5222.98
840,60102,1.0,825.22
841,23788,0.5,642.76
842,64047,1.0,302.56
843,71444,0.5,979.74
844,25057,0.5,1827.55
845,88106,0.5,4759.1
846,133060,0.5,3938.75
847,74180,1.0,728.28
848,101719,1.0,1287.89
849,169720,1.0,977.38
850,132595,0.5,1097.5
851,93745,1.0,689.94
852,159687,1.0,2736.3
853,172013,1.0,2444.05
854,122987,1.0,1148.02
855,53925,1.0,993.93
856,10147,1.0,1092.13
857,63873,1.0,2045.6
858,83243,1.0,901.48
859,122387,1.0,433.58
860,102262,0.5,1571.11
861,82131,1.0,686.41
862,178678,0.5,2483.31
863,162519,0.5,2636.6
864,102535,0.5,11104.5
865,45942,1.0,2124.79
866,142615,0.5,5633.71
867,135417,0.5,645.7
868,12815,0.5,4559.61
869,136279,1.0,672.3
870,139791,1.0,4142.73
871,190518,0.5,2583.51
872,153974,1.0,2412.18
873,110312,1.0,2463.8
874,129563,0.5,2269.98
875,50040,0.5,1153.94
876,90509,1.0,1197.62
877,27104,0.5,849.07
878,71441,0.5,1455.58
879,160259,1.0,788.8
880,155922,1.0,777.58
881,156926,1.0,1785.94
882,127777,0.5,5827.95
883,95467,0.5,573.28
884,148193,1.0,3082.79
885,108982,0.5,3069.37
886,36510,1.0,685.58
887,137124,0.5,1865.28
888,66895,1.0,2242.57
889,160735,1.0,1883.12
890,120011,1.0,1763.49
891,51451,1.0,903.14
892,62266,1.0,295.15
893,191132,0.5,2067.4
894,111472,1.0,1478.35
895,171988,1.0,2307.78
896,69093,1.0,1679.15
897,27097,0.5,2165.93
898,67733,0.5,1712.52
899,10075,0.5,947.83
900,67939,1.0,5786.58
901,108601,1.0,2324.29
902,121200,1.0,1241.58
903,196249,0.5,478.95
904,144219,1.0,1248.77
905,129326,1.0,789.91
906,151470,1.0,1789.69
907,134292,1.0,4111.1
908,111628,1.0,1760.42
909,42507,1.0,1538.41
910,160747,1.0,538.72
911,47674,0.5,1482.32
912,4478,0.5,2478.31
913,53013,0.5,14082.89
914,147161,1.0,416.56
915,2911,1.0,879.84
916,52577,0.5,14487.04
917,12153,1.0,825.09
918,196890,0.5,2198.22
919,189540,0.5,1214.58
920,190879,1.0,2704.0
921,93025,0.5,1239.25
922,175811,1.0,1921.43
923,2965,1.0,730.69
924,150216,1.0,749.16
925,128732,0.5,1882.97
926,2647,1.0,4229.19
927,73462,1.0,2523.34
928,100698,1.0,3552.83
929,157325,1.0,2837.38
930,119692,0.5,922.3
931,22261,1.0,1184.76
932,86047,1.0,487.31
933,196351,1.0,1067.47
934,90554,1.0,810.11
935,89777,1.0,5363.78
936,100031,1.0,783.99
937,67587,1.0,683.15
938,45874,1.0,277.71
939,160408,0.5,2317.36
940,135449,1.0,1179.63
941,154328,1.0,1756.69
942,106411,1.0,1507.0
943,138701,0.5,820.95
944,68310,1.0,2718.59
945,71746,1.0,2317.2
946,150253,0.5,6581.29
947,143224,0.5,12340.47
948,142868,1.0,1807.06
949,64432,0.5,1048.57
950,33747,0.5,1883.72
951,146753,1.0,2374.31
952,60451,0.5,1917.92
953,51001,1.0,591.92
954,60574,0.5,1026.14
955,109839,1.0,1154.55
956,138917,1.0,537.62
957,2465,1.0,1111.02
958,143039,1.0,424.01
959,93321,1.0,1342.86
960,111392,1.0,1341.98
961,118546,1.0,1907.56
962,143877,1.0,703.98
963,173352,1.0,1699.02
964,18018,1.0,3339.53
965,49958,1.0,3479.82
966,191246,0.5,793.88
967,190664,0.5,1273.52
968,179498,1.0,1647.93
969,136459,1.0,1091.89
970,75082,1.0,990.66
971,158567,1.0,10001.7
972,59903,1.0,663.51
973,121632,0.5,2117.77
974,9690,1.0,2573.58
975,116747,1.0,1720.24
976,144845,1.0,1137.6
977,26532,0.5,1317.32
978,163564,0.5,3353.32
979,78290,0.5,3625.35
980,166302,1.0,4109.7
981,5206,1.0,836.44
982,17657,1.0,671.67
983,198067,1.0,1650.91
984,146425,1.0,1672.88
985,333,0.5,1353.17
986,177716,1.0,1949.0
987,92321,1.0,3336.99
988,166624,1.0,4009.21
989,33886,1.0,2778.0
990,25885,1.0,1846.99
991,77098,1.0,2414.87
992,94833,1.0,3084.38
993,82198,1.0,1001.57
994,146304,1.0,2284.41
995,84578,1.0,3813.49
996,66758,0.5,550.66
997,16170,1.0,1442.06
998,190526,0.5,1478.81
999,138406,1.0,2572.98
1000,173444,1.0,391.83
1001,7143,0.5,6581.2
1002,156862,0.5,2290.0
1003,198185,0.5,2757.37
1004,87455,1.0,3635.97
1005,43554,0.5,12908.53
1006,163127,1.0,1781.35
1007,102000,0.5,1357.72
1008,191165,0.5,1465.59
1009,38853,1.0,4714.58
1010,114206,1.0,3283.03
1011,136021,1.0,2427.95
1012,159062,1.0,637.01
1013,52201,0.5,2381.95
1014,55835,1.0,1170.91
1015,85112,1.0,2375.22
1016,199751,1.0,1006.49
